dataset,model,accuracy,f1_macro,feature_time,train_time,test_time,total_time,seed,augmented,notes
fashion_mnist,hist_svm,0.464,0.45677918236582526,1.3815937042236328,54.08606791496277,18.90132975578308,74.36899137496948,42,False,
fashion_mnist,hist_logreg,0.3674,0.35954412199111185,2.115157127380371,4.440865993499756,0.009078741073608398,6.565101861953735,42,False,
fashion_mnist,hog_svm,0.8558,0.8557591170598048,4.8525965213775635,56.84455609321594,18.231056451797485,79.92820906639099,42,False,
fashion_mnist,hog_logreg,0.8149,0.8136086609865376,5.595432758331299,20.870424270629883,0.004241943359375,26.470098972320557,42,False,
fashion_mnist,cnn_small,0.9143,0.915167170778615,0.0,127.27813124656677,0.9661824703216553,128.24431371688843,42,False,"epochs=10,lr=0.001"
fashion_mnist,cnn_medium,0.9152,0.9142290698896266,0.0,194.43373250961304,1.2165749073028564,195.6503074169159,42,False,"epochs=10,lr=0.001"
cifar10,hist_svm,0.3789,0.3747422285435123,5.570235967636108,203.4526665210724,22.99743127822876,232.02033376693726,42,False,
cifar10,hist_logreg,0.2704,0.2554273443975748,6.20322585105896,6.649136781692505,0.003237485885620117,12.855600118637085,42,False,
cifar10,hog_svm,0.6537,0.6526536057486376,10.626880168914795,381.18804121017456,55.30782389640808,447.12274527549744,42,False,
cifar10,hog_logreg,0.5403,0.5368933754422021,10.603107690811157,40.552571535110474,0.012203216552734375,51.167882442474365,42,False,
cifar10,cnn_small,0.6988,0.6960132109634908,0.0,135.14901304244995,1.1382715702056885,136.28728461265564,42,False,"epochs=10,lr=0.001"
cifar10,cnn_medium,0.7438,0.740153318722385,0.0,207.11323070526123,1.561028003692627,208.67425870895386,42,False,"epochs=10,lr=0.001"
fashion_mnist,cnn_small,0.8839,0.8848845761370725,0.0,196.104421377182,1.3328087329864502,197.43723011016846,42,True,"epochs=10,lr=0.001"
cifar10,cnn_small,0.6736,0.6735023398543856,0.0,170.87832522392273,1.6990034580230713,172.5773286819458,42,True,"epochs=10,lr=0.001"
fashion_mnist,cnn_medium,0.8986,0.8970638605310934,0.0,244.6129548549652,1.6148555278778076,246.22781038284302,42,True,"epochs=10,lr=0.001"
cifar10,cnn_medium,0.7085,0.7039408111882524,0.0,235.54127192497253,2.0590453147888184,237.60031723976135,42,True,"epochs=10,lr=0.001"
